Time,Price,Side
02/24/23 05:12:32,1642.89,Short
02/24/23 05:13:29,1643.08,Short
02/24/23 05:14:26,1642.91,Short
02/24/23 05:15:37,1644.66,Short
02/24/23 05:16:34,1644.51,Short
02/24/23 05:17:31,1642.62,Short
02/24/23 05:18:29,1642.0,Short
02/24/23 05:19:25,1641.97,Short
02/24/23 05:20:37,1641.9,Short
02/24/23 05:21:32,1643.76,Short
02/24/23 05:22:36,1643.29,Short
02/24/23 05:23:30,1644.2,Short
02/24/23 05:24:26,1643.22,Short
02/24/23 05:25:37,1643.81,Short
02/24/23 05:26:32,1644.9,Short
02/24/23 05:27:27,1645.9,Short
02/24/23 05:28:21,1645.48,Short
02/24/23 05:29:34,1645.51,Short
02/24/23 05:30:30,1645.49,Short
02/24/23 05:31:28,1643.73,Short
02/24/23 05:32:25,1643.69,Short
02/24/23 05:33:36,1644.79,Short
02/24/23 05:34:31,1644.49,Short
02/24/23 05:35:30,1644.41,Short
02/24/23 05:36:26,1644.8,Short
02/24/23 05:37:36,1644.09,Short
02/24/23 05:38:32,1644.25,Short
02/24/23 05:39:29,1645.19,Short
02/24/23 05:40:23,1644.52,Short
02/24/23 05:41:38,1644.26,Short
02/24/23 05:42:36,1644.26,Short
02/24/23 05:43:34,1644.38,Short
02/24/23 05:44:29,1643.99,Short
02/24/23 05:45:26,1644.03,Short
02/24/23 05:46:37,1643.82,Short
02/24/23 05:47:34,1644.05,Short
02/24/23 05:48:29,1644.29,Short
02/24/23 05:49:25,1644.87,Short
02/24/23 05:50:36,1645.37,Short
02/24/23 05:51:32,1644.6,Short
02/24/23 05:52:28,1643.99,Short
02/24/23 05:53:23,1643.33,Short
02/24/23 05:54:36,1643.21,Short
02/24/23 05:55:32,1643.36,Short
02/24/23 05:56:27,1644.92,Short
02/24/23 05:57:25,1644.64,Short
02/24/23 05:58:37,1644.36,Short
02/24/23 05:59:32,1644.22,Short
02/24/23 06:04:28,1643.79,Short
02/24/23 06:05:21,1643.75,Short
02/24/23 06:06:33,1642.2,Short
02/24/23 06:07:28,1643.76,Short
02/24/23 06:08:23,1644.35,Short
02/24/23 06:09:34,1642.05,Short
02/24/23 06:10:29,1644.31,Short
02/24/23 06:11:25,1643.76,Short
02/24/23 06:12:38,1643.89,Short
02/24/23 06:13:35,1644.19,Short
02/24/23 06:14:29,1643.81,Short
02/24/23 06:15:25,1643.21,Short
02/24/23 06:16:39,1644.86,Short
02/24/23 06:17:35,1644.55,Short
02/24/23 06:18:29,1645.54,Short
02/24/23 06:19:23,1645.19,Short
02/24/23 06:20:34,1645.46,Short
02/24/23 06:21:30,1646.62,Short
02/24/23 06:22:25,1647.28,Short
02/24/23 06:23:39,1646.44,Short
02/24/23 06:24:35,1646.48,Short
02/24/23 06:25:30,1647.1,Short
02/24/23 06:26:28,1647.46,Short
02/24/23 06:27:23,1647.0,Short
02/24/23 06:28:36,1648.0,Short
02/24/23 06:29:34,1647.43,Short
02/24/23 06:30:28,1648.0,Short
02/24/23 06:31:22,1647.78,Short
02/24/23 06:32:32,1648.07,Short
02/24/23 06:33:26,1648.18,Short
02/24/23 06:34:22,1647.51,Short
02/24/23 06:35:31,1647.79,Short
02/24/23 06:36:28,1648.55,Short
02/24/23 06:37:26,1648.5,Short
02/24/23 06:38:38,1648.68,Short
02/24/23 06:39:35,1648.63,Short
02/24/23 06:40:30,1648.7,Short
02/24/23 06:41:27,1647.52,Short
02/24/23 06:42:23,1647.77,Short
02/24/23 06:43:40,1648.01,Short
02/24/23 06:44:36,1647.69,Short
02/24/23 06:45:30,1648.29,Short
02/24/23 06:46:26,1648.33,Short
02/24/23 06:47:38,1648.94,Short
02/24/23 06:48:37,1649.73,Short
02/24/23 06:49:34,1650.07,Short
02/24/23 06:50:32,1650.03,Short
02/24/23 06:51:28,1650.07,Short
02/24/23 06:52:23,1650.97,Short
02/24/23 06:53:35,1651.59,Short
02/24/23 06:54:29,1651.44,Short
02/24/23 06:55:24,1650.85,Short
02/24/23 06:56:35,1650.28,Short
02/24/23 06:57:30,1650.51,Short
02/24/23 06:58:27,1650.0,Short
02/24/23 06:59:22,1650.87,Short
02/24/23 07:04:38,1650.01,Short
02/24/23 07:05:35,1649.89,Short
02/24/23 07:06:30,1650.22,Short
02/24/23 07:07:28,1649.34,Short
02/24/23 07:08:24,1648.47,Short
02/24/23 07:09:34,1649.01,Short
02/24/23 07:10:31,1650.26,Short
02/24/23 07:11:30,1650.82,Short
02/24/23 07:12:25,1651.04,Short
02/24/23 07:13:37,1651.1,Short
02/24/23 07:14:33,1650.86,Short
02/24/23 07:15:27,1650.32,Short
02/24/23 07:16:38,1650.02,Short
02/24/23 07:17:35,1649.13,Short
02/24/23 07:18:30,1648.51,Short
02/24/23 07:19:27,1647.3,Short
02/24/23 07:20:20,1647.23,Short
02/24/23 07:21:30,1646.36,Short
