time,Open,High,Low,Close,Volume
1613181600000,1859.59,1878.88,1852.34,1870.02,147883.594
1613188800000,1870.02,1872.00,1840.51,1852.49,142582.632
1613196000000,1852.50,1854.47,1806.00,1806.97,213537.376
1613203200000,1807.16,1840.84,1796.00,1830.74,236099.620
1613210400000,1830.73,1830.73,1764.79,1785.00,453825.175
1613217600000,1784.84,1813.91,1767.00,1808.63,258875.588
1613224800000,1808.64,1828.00,1791.60,1819.27,198712.155
1613232000000,1819.27,1827.14,1785.00,1796.64,190343.001
1613239200000,1796.64,1814.44,1787.54,1802.27,130588.315
1613246400000,1802.59,1823.00,1790.00,1815.62,124802.295
1613253600000,1815.45,1827.00,1806.84,1818.02,102211.228
1613260800000,1817.86,1843.90,1809.79,1837.25,152433.298
1613268000000,1837.25,1847.47,1810.40,1813.52,136559.776
1613275200000,1813.41,1850.00,1804.11,1845.59,151432.678
1613282400000,1845.60,1857.67,1832.75,1835.08,198386.734
1613289600000,1835.17,1846.46,1828.44,1844.04,103518.978
1613296800000,1844.05,1853.99,1831.00,1835.65,125981.585
1613304000000,1835.65,1849.36,1803.30,1813.10,198530.249
1613311200000,1813.10,1824.00,1785.23,1802.84,252189.577
1613318400000,1802.84,1817.34,1792.87,1805.79,135547.008
1613325600000,1805.79,1814.95,1798.85,1807.10,101428.652
1613332800000,1807.10,1829.55,1802.52,1828.01,103980.039
1613340000000,1828.02,1834.76,1802.70,1803.59,113679.663
1613347200000,1804.00,1816.26,1733.73,1754.53,379150.045
1613354400000,1754.53,1763.00,1652.00,1729.10,742043.152
1613361600000,1729.10,1734.60,1688.63,1723.58,301689.053
1613368800000,1723.56,1761.09,1722.38,1750.22,187336.199
